step,t,dt,relE
6156,5.3842380400000002e+04,0.0000000000000000e+00,-0.0000000000000000e+00
6157,5.3851522577514697e+04,9.1421775146984814e+00,3.4697462301290903e-16
6158,5.3861313897283115e+04,9.7913197684155424e+00,2.3131641534193939e-16
6159,5.3871317619028523e+04,1.0003721745406667e+01,2.3131641534193939e-16
6160,5.3881342176457372e+04,1.0024557428850722e+01,-0.0000000000000000e+00
6161,5.3891394662003011e+04,1.0052485545642192e+01,1.1565820767096969e-16
6162,5.3901481486878984e+04,1.0086824875969143e+01,4.6263283068387877e-16
6163,5.3911608215620749e+04,1.0126728741762468e+01,2.3131641534193939e-16
6164,5.3921779392255376e+04,1.0171176634629591e+01,4.6263283068387877e-16
6165,5.3931998371578724e+04,1.0218979323344861e+01,-0.0000000000000000e+00
6166,5.3942267167454920e+04,1.0268795876199704e+01,-0.0000000000000000e+00
6167,5.3952586327806144e+04,1.0319160351226225e+01,5.7829103835484842e-16
6168,5.3962954845717824e+04,1.0368517911678383e+01,1.1565820767096969e-16
6169,5.3973370116724953e+04,1.0415271007126099e+01,2.3131641534193939e-16
6170,5.3983827952411433e+04,1.0457835686478363e+01,2.3131641534193939e-16
6171,5.3994322659088066e+04,1.0494706676636270e+01,1.1565820767096969e-16
6172,5.4004847187119864e+04,1.0524528031797223e+01,-1.1565820767096969e-16
6173,5.4015393351465042e+04,1.0546164345178232e+01,3.4697462301290903e-16
6174,5.4025793738661625e+04,1.0400387196584818e+01,4.6263283068387877e-16
6175,5.4035889784970364e+04,1.0096046308739384e+01,2.3131641534193939e-16
6176,5.4045694828948821e+04,9.8050439784567125e+00,2.3131641534193939e-16
6177,5.4055229130649845e+04,9.5343017010222884e+00,3.4697462301290903e-16
6178,5.4064517544404938e+04,9.2884137550909838e+00,3.4697462301290903e-16
6179,5.4073587834850128e+04,9.0702904451915032e+00,2.3131641534193939e-16
6180,5.4082469511258860e+04,8.8816764087301170e+00,2.3131641534193939e-16
6181,5.4091193050974667e+04,8.7235397158093395e+00,2.3131641534193939e-16
6182,5.4099789401461778e+04,8.5963504871072640e+00,-0.0000000000000000e+00
6183,5.4108289674243788e+04,8.5002727820102439e+00,-0.0000000000000000e+00
6184,5.4116724965479698e+04,8.4352912359127608e+00,-0.0000000000000000e+00
6185,5.4125126254549868e+04,8.4012890701679162e+00,4.6263283068387877e-16
6186,5.4133524342620141e+04,8.3980880702728324e+00,2.3131641534193939e-16
6187,5.4141949795801753e+04,8.4254531816130314e+00,4.6263283068387877e-16
6188,5.4150432846717667e+04,8.4830509159147152e+00,6.9394924602581806e-16
6189,5.4159003166631788e+04,8.5703199141205513e+00,2.3131641534193939e-16
6190,5.4167689286509943e+04,8.6861198781546936e+00,2.3131641534193939e-16
6191,5.4176516965341893e+04,8.8276788319475070e+00,6.9394924602581806e-16
6192,5.4185503680761889e+04,8.9867154199989372e+00,3.4697462301290903e-16
6193,5.4194633963380402e+04,9.1302826185163326e+00,5.7829103835484842e-16
6194,5.4203693873446049e+04,9.0599100656492215e+00,5.7829103835484842e-16
6195,5.4205330227115919e+04,1.6363536698735162e+00,5.7829103835484842e-16
6196,5.4206620343556679e+04,1.2901164407618950e+00,5.7829103835484842e-16
6197,5.4207762681354798e+04,1.1423377981195129e+00,3.4697462301290903e-16
6198,5.4211713490481176e+04,3.9508091263746050e+00,3.8398524946761936e-14
6199,5.4212774425946751e+04,1.0609354655718113e+00,3.8282866739090967e-14
6200,5.4213419891105950e+04,6.4546515920010050e-01,3.8167208531419993e-14
6201,5.4213908582831908e+04,4.8869172595413984e-01,3.8282866739090967e-14
6202,5.4214322242303679e+04,4.1365947176929918e-01,3.8167208531419993e-14
6203,5.4214703363805573e+04,3.8112150189509664e-01,3.8282866739090967e-14
6204,5.4215057033419427e+04,3.5366961385330936e-01,3.8629841362103872e-14
6205,5.4215415382750136e+04,3.5834933070869412e-01,3.8282866739090967e-14
6206,5.4215805582638750e+04,3.9019988861615745e-01,3.8282866739090967e-14
6207,5.4216257076148730e+04,4.5149350998119980e-01,3.8167208531419993e-14
6208,5.4216811927385956e+04,5.5485123722729313e-01,3.8051550323749025e-14
6209,5.4217542391119990e+04,7.3046373403210429e-01,3.8282866739090967e-14
6210,5.4218583847104368e+04,1.0414559843760569e+00,3.8051550323749025e-14
6211,5.4220213076302993e+04,1.6292291986247729e+00,3.8282866739090967e-14
6212,5.4223043049944696e+04,2.8299736416993686e+00,3.8051550323749025e-14
6213,5.4228335257072344e+04,5.2922071276506832e+00,3.8167208531419993e-14
6214,5.4236934321703426e+04,8.5990646310847314e+00,3.8282866739090967e-14
6215,5.4246956350726032e+04,1.0022029022609038e+01,3.8167208531419993e-14
6216,5.4257189824802801e+04,1.0233474076767301e+01,3.8051550323749025e-14
6217,5.4267390898590551e+04,1.0201073787749481e+01,3.8051550323749025e-14
6218,5.4277491850932944e+04,1.0100952342392999e+01,3.8282866739090967e-14
6219,5.4287462599187020e+04,9.9707482540741665e+00,3.8051550323749025e-14
6220,5.4297287538553064e+04,9.8249393660431377e+00,3.8282866739090967e-14
6221,5.4306959866003643e+04,9.6723274505814469e+00,3.7935892116078057e-14
6222,5.4316479319651036e+04,9.5194536473956841e+00,3.8167208531419993e-14
6223,5.4325850788857082e+04,9.3714692060453846e+00,3.7935892116078057e-14
6224,5.4335083244259105e+04,9.2324554020210989e+00,3.8167208531419993e-14
6225,5.4344188854261789e+04,9.1056100026830507e+00,3.8398524946761936e-14
