step,t,t_rel,dt,relE,ordering
1,5.3851522577514697e+04,9.1421775146955042e+00,9.1421775146984814e+00,3.4697462301290903e-16,sun-earth-asteroid
2,5.3861313897283115e+04,1.8933497283112956e+01,9.7913197684155424e+00,2.3131641534193939e-16,sun-earth-asteroid
3,5.3871317619028523e+04,2.8937219028521213e+01,1.0003721745406667e+01,2.3131641534193939e-16,sun-earth-asteroid
4,5.3881342176457372e+04,3.8961776457370433e+01,1.0024557428850722e+01,-0.0000000000000000e+00,sun-earth-asteroid
5,5.3891394662003011e+04,4.9014262003009208e+01,1.0052485545642192e+01,1.1565820767096969e-16,sun-earth-asteroid
6,5.3901481486878984e+04,5.9101086878981732e+01,1.0086824875969143e+01,4.6263283068387877e-16,sun-earth-asteroid
7,5.3911608215620749e+04,6.9227815620746696e+01,1.0126728741762468e+01,2.3131641534193939e-16,sun-earth-asteroid
8,5.3921779392255376e+04,7.9398992255373742e+01,1.0171176634629591e+01,4.6263283068387877e-16,sun-earth-asteroid
9,5.3931998371578724e+04,8.9617971578722063e+01,1.0218979323344861e+01,-0.0000000000000000e+00,sun-earth-asteroid
10,5.3942267167454920e+04,9.9886767454918299e+01,1.0268795876199704e+01,-0.0000000000000000e+00,sun-earth-asteroid
11,5.3952586327806144e+04,1.1020592780614243e+02,1.0319160351226225e+01,5.7829103835484842e-16,sun-earth-asteroid
12,5.3962954845717824e+04,1.2057444571782253e+02,1.0368517911678383e+01,1.1565820767096969e-16,sun-earth-asteroid
13,5.3973370116724953e+04,1.3098971672495099e+02,1.0415271007126099e+01,2.3131641534193939e-16,sun-earth-asteroid
14,5.3983827952411433e+04,1.4144755241143139e+02,1.0457835686478363e+01,2.3131641534193939e-16,sun-earth-asteroid
15,5.3994322659088066e+04,1.5194225908806402e+02,1.0494706676636270e+01,1.1565820767096969e-16,sun-earth-asteroid
16,5.4004847187119864e+04,1.6246678711986169e+02,1.0524528031797223e+01,-1.1565820767096969e-16,sun-earth-asteroid
17,5.4015393351465042e+04,1.7301295146503981e+02,1.0546164345178232e+01,3.4697462301290903e-16,sun-earth-asteroid
18,5.4025793738661625e+04,1.8341333866162313e+02,1.0400387196584818e+01,4.6263283068387877e-16,sun-earth-asteroid
19,5.4035889784970364e+04,1.9350938497036259e+02,1.0096046308739384e+01,2.3131641534193939e-16,sun-earth-asteroid
20,5.4045694828948821e+04,2.0331442894881911e+02,9.8050439784567125e+00,2.3131641534193939e-16,sun-earth-asteroid
21,5.4055229130649845e+04,2.1284873064984276e+02,9.5343017010222884e+00,3.4697462301290903e-16,sun-earth-asteroid
22,5.4064517544404938e+04,2.2213714440493641e+02,9.2884137550909838e+00,3.4697462301290903e-16,sun-earth-asteroid
23,5.4073587834850128e+04,2.3120743485012645e+02,9.0702904451915032e+00,2.3131641534193939e-16,sun-earth-asteroid
24,5.4082469511258860e+04,2.4008911125885788e+02,8.8816764087301170e+00,2.3131641534193939e-16,sun-earth-asteroid
25,5.4091193050974667e+04,2.4881265097466530e+02,8.7235397158093395e+00,2.3131641534193939e-16,sun-earth-asteroid
26,5.4099789401461778e+04,2.5740900146177592e+02,8.5963504871072640e+00,-0.0000000000000000e+00,sun-earth-asteroid
27,5.4108289674243788e+04,2.6590927424378606e+02,8.5002727820102439e+00,-0.0000000000000000e+00,sun-earth-asteroid
28,5.4116724965479698e+04,2.7434456547969603e+02,8.4352912359127608e+00,-0.0000000000000000e+00,sun-earth-asteroid
29,5.4125126254549868e+04,2.8274585454986664e+02,8.4012890701679162e+00,4.6263283068387877e-16,sun-earth-asteroid
30,5.4133524342620141e+04,2.9114394262013957e+02,8.3980880702728324e+00,2.3131641534193939e-16,sun-earth-asteroid
31,5.4141949795801753e+04,2.9956939580175094e+02,8.4254531816130314e+00,4.6263283068387877e-16,sun-earth-asteroid
32,5.4150432846717667e+04,3.0805244671766559e+02,8.4830509159147152e+00,6.9394924602581806e-16,sun-earth-asteroid
33,5.4159003166631788e+04,3.1662276663178636e+02,8.5703199141205513e+00,2.3131641534193939e-16,sun-earth-asteroid
34,5.4167689286509943e+04,3.2530888650994166e+02,8.6861198781546936e+00,2.3131641534193939e-16,sun-earth-asteroid
35,5.4176516965341893e+04,3.3413656534189067e+02,8.8276788319475070e+00,6.9394924602581806e-16,sun-earth-asteroid
36,5.4185503680761889e+04,3.4312328076188714e+02,8.9867154199989372e+00,3.4697462301290903e-16,sun-earth-asteroid
37,5.4194633963380402e+04,3.5225356338040001e+02,9.1302826185163326e+00,5.7829103835484842e-16,sun-earth-asteroid
38,5.4203693873446049e+04,3.6131347344604728e+02,9.0599100656492215e+00,5.7829103835484842e-16,sun-earth-asteroid
39,5.4205330227115919e+04,3.6294982711591729e+02,1.6363536698735162e+00,5.7829103835484842e-16,sun-earth-asteroid
40,5.4206620343556679e+04,3.6423994355667674e+02,1.2901164407618950e+00,5.7829103835484842e-16,sun-earth-asteroid
41,5.4207762681354798e+04,3.6538228135479585e+02,1.1423377981195129e+00,3.4697462301290903e-16,sun-earth-asteroid
42,5.4211713490481176e+04,3.6933309048117371e+02,3.9508091263746050e+00,3.8398524946761936e-14,sun-earth-asteroid
43,5.4212774425946751e+04,3.7039402594674903e+02,1.0609354655718113e+00,3.8282866739090967e-14,sun-earth-asteroid
44,5.4213419891105950e+04,3.7103949110594840e+02,6.4546515920010050e-01,3.8167208531419993e-14,sun-earth-asteroid
45,5.4213908582831908e+04,3.7152818283190572e+02,4.8869172595413984e-01,3.8282866739090967e-14,sun-earth-asteroid
46,5.4214322242303679e+04,3.7194184230367682e+02,4.1365947176929918e-01,3.8167208531419993e-14,sun-earth-asteroid
47,5.4214703363805573e+04,3.7232296380557091e+02,3.8112150189509664e-01,3.8282866739090967e-14,sun-earth-asteroid
48,5.4215057033419427e+04,3.7267663341942534e+02,3.5366961385330936e-01,3.8629841362103872e-14,sun-earth-asteroid
49,5.4215415382750136e+04,3.7303498275013408e+02,3.5834933070869412e-01,3.8282866739090967e-14,sun-earth-asteroid
50,5.4215805582638750e+04,3.7342518263874808e+02,3.9019988861615745e-01,3.8282866739090967e-14,sun-earth-asteroid
51,5.4216257076148730e+04,3.7387667614872771e+02,4.5149350998119980e-01,3.8167208531419993e-14,sun-earth-asteroid
52,5.4216811927385956e+04,3.7443152738595381e+02,5.5485123722729313e-01,3.8051550323749025e-14,sun-earth-asteroid
53,5.4217542391119990e+04,3.7516199111998867e+02,7.3046373403210429e-01,3.8282866739090967e-14,sun-earth-asteroid
54,5.4218583847104368e+04,3.7620344710436621e+02,1.0414559843760569e+00,3.8051550323749025e-14,sun-earth-asteroid
55,5.4220213076302993e+04,3.7783267630299088e+02,1.6292291986247729e+00,3.8282866739090967e-14,sun-earth-asteroid
56,5.4223043049944696e+04,3.8066264994469384e+02,2.8299736416993686e+00,3.8051550323749025e-14,sun-earth-asteroid
57,5.4228335257072344e+04,3.8595485707234184e+02,5.2922071276506832e+00,3.8167208531419993e-14,sun-earth-asteroid
58,5.4236934321703426e+04,3.9455392170342384e+02,8.5990646310847314e+00,3.8282866739090967e-14,sun-earth-asteroid
59,5.4246956350726032e+04,4.0457595072602999e+02,1.0022029022609038e+01,3.8167208531419993e-14,sun-earth-asteroid
60,5.4257189824802801e+04,4.1480942480279919e+02,1.0233474076767301e+01,3.8051550323749025e-14,sun-earth-asteroid
61,5.4267390898590551e+04,4.2501049859054910e+02,1.0201073787749481e+01,3.8051550323749025e-14,sun-earth-asteroid
62,5.4277491850932944e+04,4.3511145093294181e+02,1.0100952342392999e+01,3.8282866739090967e-14,sun-earth-asteroid
63,5.4287462599187020e+04,4.4508219918701798e+02,9.9707482540741665e+00,3.8051550323749025e-14,sun-earth-asteroid
