step,t,t_rel,dt,relE,ordering
1,5.3852380400000002e+04,1.0000000000000000e+01,1.0000000000000000e+01,3.8109379427584510e-13,sun-earth-asteroid
2,5.3862380400000002e+04,2.0000000000000000e+01,1.0000000000000000e+01,4.3140511461271693e-14,sun-earth-asteroid
3,5.3872380400000002e+04,3.0000000000000000e+01,1.0000000000000000e+01,-8.6778353215528555e-13,sun-earth-asteroid
4,5.3882380400000002e+04,4.0000000000000000e+01,1.0000000000000000e+01,-2.0675061203262540e-12,sun-earth-asteroid
5,5.3892380400000002e+04,5.0000000000000000e+01,1.0000000000000000e+01,-3.2903603500314166e-12,sun-earth-asteroid
6,5.3902380400000002e+04,6.0000000000000000e+01,1.0000000000000000e+01,-4.3800919827072926e-12,sun-earth-asteroid
7,5.3912380400000002e+04,7.0000000000000000e+01,1.0000000000000000e+01,-5.2725107130964947e-12,sun-earth-asteroid
8,5.3922380400000002e+04,8.0000000000000000e+01,1.0000000000000000e+01,-5.9692357561064166e-12,sun-earth-asteroid
9,5.3932380400000002e+04,9.0000000000000000e+01,1.0000000000000000e+01,-6.4944396771402900e-12,sun-earth-asteroid
10,5.3942380400000002e+04,1.0000000000000000e+02,1.0000000000000000e+01,-6.8855957354835090e-12,sun-earth-asteroid
11,5.3952380400000002e+04,1.1000000000000000e+02,1.0000000000000000e+01,-7.1726594069228562e-12,sun-earth-asteroid
12,5.3962380400000002e+04,1.2000000000000000e+02,1.0000000000000000e+01,-7.3767961434621179e-12,sun-earth-asteroid
13,5.3972380400000002e+04,1.3000000000000000e+02,1.0000000000000000e+01,-7.5233350925812365e-12,sun-earth-asteroid
14,5.3982380400000002e+04,1.4000000000000000e+02,1.0000000000000000e+01,-7.6187531139097862e-12,sun-earth-asteroid
15,5.3992380400000002e+04,1.5000000000000000e+02,1.0000000000000000e+01,-7.6727654968921286e-12,sun-earth-asteroid
16,5.4002380400000002e+04,1.6000000000000000e+02,1.0000000000000000e+01,-7.6923117339885231e-12,sun-earth-asteroid
17,5.4012380400000002e+04,1.7000000000000000e+02,1.0000000000000000e+01,-7.6769291923682839e-12,sun-earth-asteroid
18,5.4022380400000002e+04,1.8000000000000000e+02,1.0000000000000000e+01,-7.6237264168396373e-12,sun-earth-asteroid
19,5.4032380400000002e+04,1.9000000000000000e+02,1.0000000000000000e+01,-7.5213689030508300e-12,sun-earth-asteroid
20,5.4042380400000002e+04,2.0000000000000000e+02,1.0000000000000000e+01,-7.3587534630654457e-12,sun-earth-asteroid
21,5.4052380400000002e+04,2.1000000000000000e+02,1.0000000000000000e+01,-7.1087004180808099e-12,sun-earth-asteroid
22,5.4062380400000002e+04,2.2000000000000000e+02,1.0000000000000000e+01,-6.7299197879583840e-12,sun-earth-asteroid
23,5.4072380400000002e+04,2.3000000000000000e+02,1.0000000000000000e+01,-6.1429543840282130e-12,sun-earth-asteroid
24,5.4082380400000002e+04,2.4000000000000000e+02,1.0000000000000000e+01,-5.2113275212385516e-12,sun-earth-asteroid
25,5.4092380400000002e+04,2.5000000000000000e+02,1.0000000000000000e+01,-3.6788562695982038e-12,sun-earth-asteroid
26,5.4102380400000002e+04,2.6000000000000000e+02,1.0000000000000000e+01,-1.0418491347000950e-12,sun-earth-asteroid
27,5.4112380400000002e+04,2.7000000000000000e+02,1.0000000000000000e+01,3.7359914241876627e-12,sun-earth-asteroid
28,5.4122380400000002e+04,2.8000000000000000e+02,1.0000000000000000e+01,1.2925498656476887e-11,sun-earth-asteroid
29,5.4132380400000002e+04,2.9000000000000000e+02,1.0000000000000000e+01,3.1855277505984495e-11,sun-earth-asteroid
30,5.4142380400000002e+04,3.0000000000000000e+02,1.0000000000000000e+01,7.3997658635055722e-11,sun-earth-asteroid
31,5.4152380400000002e+04,3.1000000000000000e+02,1.0000000000000000e+01,1.7653675580990731e-10,sun-earth-asteroid
32,5.4162380400000002e+04,3.2000000000000000e+02,1.0000000000000000e+01,4.5324369738514939e-10,sun-earth-asteroid
33,5.4172380400000002e+04,3.3000000000000000e+02,1.0000000000000000e+01,1.2953561963986171e-09,sun-earth-asteroid
34,5.4182380400000002e+04,3.4000000000000000e+02,1.0000000000000000e+01,3.9546988973875209e-09,sun-earth-asteroid
35,5.4192380400000002e+04,3.5000000000000000e+02,1.0000000000000000e+01,1.0097015380137145e-07,sun-earth-asteroid
36,5.4202380400000002e+04,3.6000000000000000e+02,1.0000000000000000e+01,-1.9318047119024235e-06,earth-asteroid-sun
37,5.4212380400000002e+04,3.7000000000000000e+02,1.0000000000000000e+01,-5.0824227603333551e-06,earth-asteroid-sun
38,5.4222380400000002e+04,3.8000000000000000e+02,1.0000000000000000e+01,-7.5042800373875072e-06,earth-asteroid-sun
39,5.4232380400000002e+04,3.9000000000000000e+02,1.0000000000000000e+01,-7.3921810406930720e-06,earth-asteroid-sun
40,5.4242380400000002e+04,4.0000000000000000e+02,1.0000000000000000e+01,-5.4221200999873155e-06,earth-asteroid-sun
41,5.4252380400000002e+04,4.1000000000000000e+02,1.0000000000000000e+01,-2.2802090908066896e-06,earth-asteroid-sun
42,5.4262380400000002e+04,4.2000000000000000e+02,1.0000000000000000e+01,-2.2815781581763430e-06,sun-earth-asteroid
43,5.4272380400000002e+04,4.3000000000000000e+02,1.0000000000000000e+01,-2.2819902735837638e-06,sun-earth-asteroid
44,5.4282380400000002e+04,4.4000000000000000e+02,1.0000000000000000e+01,-2.2821268409448505e-06,sun-earth-asteroid
45,5.4292380400000002e+04,4.5000000000000000e+02,1.0000000000000000e+01,-2.2821764091612029e-06,sun-earth-asteroid
46,5.4302380400000002e+04,4.6000000000000000e+02,1.0000000000000000e+01,-2.2821958591706706e-06,sun-earth-asteroid
47,5.4312380400000002e+04,4.7000000000000000e+02,1.0000000000000000e+01,-2.2822040342397636e-06,sun-earth-asteroid
48,5.4322380400000002e+04,4.8000000000000000e+02,1.0000000000000000e+01,-2.2822076905426827e-06,sun-earth-asteroid
49,5.4332380400000002e+04,4.9000000000000000e+02,1.0000000000000000e+01,-2.2822094204424949e-06,sun-earth-asteroid
50,5.4342380400000002e+04,5.0000000000000000e+02,1.0000000000000000e+01,-2.2822102808239017e-06,sun-earth-asteroid
51,5.4352380400000002e+04,5.1000000000000000e+02,1.0000000000000000e+01,-2.2822107289994564e-06,sun-earth-asteroid
52,5.4362380400000002e+04,5.2000000000000000e+02,1.0000000000000000e+01,-2.2822109730382747e-06,sun-earth-asteroid
53,5.4372380400000002e+04,5.3000000000000000e+02,1.0000000000000000e+01,-2.2822111117124654e-06,sun-earth-asteroid
54,5.4382380400000002e+04,5.4000000000000000e+02,1.0000000000000000e+01,-2.2822111908226796e-06,sun-earth-asteroid
55,5.4392380400000002e+04,5.5000000000000000e+02,1.0000000000000000e+01,-2.2822112380112281e-06,sun-earth-asteroid
56,5.4402380400000002e+04,5.6000000000000000e+02,1.0000000000000000e+01,-2.2822112673884131e-06,sun-earth-asteroid
57,5.4412380400000002e+04,5.7000000000000000e+02,1.0000000000000000e+01,-2.2822112882068906e-06,sun-earth-asteroid
58,5.4422380400000002e+04,5.8000000000000000e+02,1.0000000000000000e+01,-2.2822112980378379e-06,sun-earth-asteroid
59,5.4432380400000002e+04,5.9000000000000000e+02,1.0000000000000000e+01,-2.2822113035894320e-06,sun-earth-asteroid
60,5.4442380400000002e+04,6.0000000000000000e+02,1.0000000000000000e+01,-2.2822113070591784e-06,sun-earth-asteroid
61,5.4452380400000002e+04,6.1000000000000000e+02,1.0000000000000000e+01,-2.2822113097193171e-06,sun-earth-asteroid
62,5.4462380400000002e+04,6.2000000000000000e+02,1.0000000000000000e+01,-2.2822113097193171e-06,sun-earth-asteroid
63,5.4472380400000002e+04,6.3000000000000000e+02,1.0000000000000000e+01,-2.2822113083314185e-06,sun-earth-asteroid
64,5.4482380400000002e+04,6.4000000000000000e+02,1.0000000000000000e+01,-2.2822113061339126e-06,sun-earth-asteroid
65,5.4492380400000002e+04,6.5000000000000000e+02,1.0000000000000000e+01,-2.2822113037050901e-06,sun-earth-asteroid
66,5.4502380400000002e+04,6.6000000000000000e+02,1.0000000000000000e+01,-2.2822112983848126e-06,sun-earth-asteroid
67,5.4512380400000002e+04,6.7000000000000000e+02,1.0000000000000000e+01,-2.2822112926019023e-06,sun-earth-asteroid
68,5.4522380400000002e+04,6.8000000000000000e+02,1.0000000000000000e+01,-2.2822112865876757e-06,sun-earth-asteroid
69,5.4532380400000002e+04,6.9000000000000000e+02,1.0000000000000000e+01,-2.2822112814987145e-06,sun-earth-asteroid
70,5.4542380400000002e+04,7.0000000000000000e+02,1.0000000000000000e+01,-2.2822112772193609e-06,sun-earth-asteroid
71,5.4552380400000002e+04,7.1000000000000000e+02,1.0000000000000000e+01,-2.2822112723617158e-06,sun-earth-asteroid
72,5.4562380400000002e+04,7.2000000000000000e+02,1.0000000000000000e+01,-2.2822112681980204e-06,sun-earth-asteroid
73,5.4572380400000002e+04,7.3000000000000000e+02,1.0000000000000000e+01,-2.2822112660005145e-06,sun-earth-asteroid
74,5.4582380400000002e+04,7.4000000000000000e+02,1.0000000000000000e+01,-2.2822112655378816e-06,sun-earth-asteroid
