step,t,dt,relE
2375,2.2644702239999999e+04,0.0000000000000000e+00,-0.0000000000000000e+00
2376,2.2654702239999999e+04,1.0000000000000000e+01,-2.3267516659886062e-16
2377,2.2664843227882484e+04,1.0140987882486039e+01,-0.0000000000000000e+00
2378,2.2675020312827972e+04,1.0177084945487456e+01,-1.1633758329943031e-16
2379,2.2685197392383114e+04,1.0177079555142562e+01,-2.3267516659886062e-16
2380,2.2695374464501016e+04,1.0177072117902233e+01,1.1633758329943031e-16
2381,2.2705551527362120e+04,1.0177062861103559e+01,-0.0000000000000000e+00
2382,2.2715728579429699e+04,1.0177052067577513e+01,1.1633758329943031e-16
2383,2.2725905619497120e+04,1.0177040067421935e+01,-0.0000000000000000e+00
2384,2.2736082646724713e+04,1.0177027227593117e+01,-3.4901274989829090e-16
2385,2.2746259660665142e+04,1.0177013940430028e+01,1.1633758329943031e-16
2386,2.2756436661277374e+04,1.0177000612230188e+01,-0.0000000000000000e+00
2387,2.2766613648927785e+04,1.0176987650409757e+01,-0.0000000000000000e+00
2388,2.2776790624379020e+04,1.0176975451236352e+01,-4.6535033319772124e-16
2389,2.2786967588766642e+04,1.0176964387619616e+01,4.6535033319772124e-16
2390,2.2797144543564456e+04,1.0176954797813616e+01,-3.4901274989829090e-16
2391,2.2807321490539238e+04,1.0176946974782590e+01,3.4901274989829090e-16
2392,2.2817498431697153e+04,1.0176941157914142e+01,-0.0000000000000000e+00
2393,2.2827675369221852e+04,1.0176937524699222e+01,2.3267516659886062e-16
2394,2.2837852305408433e+04,1.0176936186582276e+01,-1.1633758329943031e-16
2395,2.2848029242592682e+04,1.0176937184250178e+01,-1.1633758329943031e-16
2396,2.2858124393516646e+04,1.0095150923963880e+01,-1.1633758329943031e-16
2397,2.2867949133970076e+04,9.8247404534311418e+00,-2.3267516659886062e-16
2398,2.2877529659654956e+04,9.5805256848810671e+00,-2.3267516659886062e-16
2399,2.2886894860270189e+04,9.3652006152324887e+00,-2.3267516659886062e-16
2400,2.2896075236453569e+04,9.1803761833791864e+00,-1.1633758329943031e-16
2401,2.2905102179260750e+04,9.0269428071808591e+00,-2.3267516659886062e-16
2402,2.2914007507710641e+04,8.9053284498908578e+00,2.3267516659886062e-16
2403,2.2922823182308977e+04,8.8156745983349349e+00,1.1633758329943031e-16
2404,2.2931581131470306e+04,8.7579491613289271e+00,-2.3267516659886062e-16
2405,2.2940313140205450e+04,8.7320087351451914e+00,1.1633758329943031e-16
2406,2.2949050752146955e+04,8.7376119415068203e+00,-2.3267516659886062e-16
2407,2.2957825115202613e+04,8.7743630556572061e+00,-0.0000000000000000e+00
2408,2.2966666617036801e+04,8.8415018341883727e+00,-0.0000000000000000e+00
2409,2.2975603844841437e+04,8.9372278046367200e+00,2.3267516659886062e-16
2410,2.2984660066894503e+04,9.0562220530674562e+00,4.6535033319772124e-16
2411,2.2993838136184069e+04,9.1780692895672704e+00,1.1633758329943031e-16
2412,2.3003029602537379e+04,9.1914663533108190e+00,1.1633758329943031e-16
2413,2.3011228287837257e+04,8.1986852998777646e+00,4.6535033319772124e-16
2414,2.3014893422385714e+04,3.6651345484557964e+00,-0.0000000000000000e+00
2415,2.3016899603311427e+04,2.0061809257136889e+00,3.4901274989829090e-16
2416,2.3018898497750830e+04,1.9988944394030785e+00,-0.0000000000000000e+00
2417,2.3021630854374147e+04,2.7323566233183096e+00,1.1633758329943031e-16
2418,2.3025896568826527e+04,4.2657144523808475e+00,1.1633758329943031e-16
2419,2.3033776407270259e+04,7.8798384437330631e+00,-0.0000000000000000e+00
2420,2.3043953490515851e+04,1.0177083245590355e+01,1.1633758329943031e-16
2421,2.3054130567608376e+04,1.0177077092525908e+01,-1.1633758329943031e-16
2422,2.3064307636576683e+04,1.0177068968308488e+01,-0.0000000000000000e+00
2423,2.3074484695697352e+04,1.0177059120670050e+01,-0.0000000000000000e+00
2424,2.3084661743548299e+04,1.0177047850944971e+01,-1.1633758329943031e-16
2425,2.3094838779051592e+04,1.0177035503293133e+01,-0.0000000000000000e+00
2426,2.3105015801507077e+04,1.0177022455487249e+01,2.3267516659886062e-16
2427,2.3115192810613356e+04,1.0177009106279842e+01,-1.1633758329943031e-16
2428,2.3125369806477214e+04,1.0176995863859357e+01,-0.0000000000000000e+00
2429,2.3135546789610176e+04,1.0176983132963001e+01,1.1633758329943031e-16
2430,2.3145723760912893e+04,1.0176971302716307e+01,2.3267516659886062e-16
2431,2.3155900721647777e+04,1.0176960734882396e+01,2.3267516659886062e-16
2432,2.3166077673400268e+04,1.0176951752490783e+01,2.3267516659886062e-16
2433,2.3176254618030307e+04,1.0176944630038930e+01,1.1633758329943031e-16
2434,2.3186431557615677e+04,1.0176939585368750e+01,4.6535033319772124e-16
2435,2.3196608494388271e+04,1.0176936772592203e+01,5.8168791649715147e-16
2436,2.3206785430665965e+04,1.0176936277693066e+01,1.1633758329943031e-16
2437,2.3216962368781886e+04,1.0176938115920969e+01,-0.0000000000000000e+00
