step,t,dt,relE
2375,2.2644702239999999e+04,0.0000000000000000e+00,-0.0000000000000000e+00
2376,2.2654702239999999e+04,1.0000000000000000e+01,1.0470382496948728e-15
2377,2.2664702239999999e+04,1.0000000000000000e+01,1.1633758329943031e-16
2378,2.2674702239999999e+04,1.0000000000000000e+01,-2.2104140826891760e-15
2379,2.2684702239999999e+04,1.0000000000000000e+01,-1.3960509995931636e-15
2380,2.2694702239999999e+04,1.0000000000000000e+01,-1.1633758329943029e-15
2381,2.2704702239999999e+04,1.0000000000000000e+01,-2.4430892492880362e-15
2382,2.2714702239999999e+04,1.0000000000000000e+01,-2.4430892492880362e-15
2383,2.2724702239999999e+04,1.0000000000000000e+01,-2.5594268325874666e-15
2384,2.2734702239999999e+04,1.0000000000000000e+01,-2.3267516659886059e-15
2385,2.2744702239999999e+04,1.0000000000000000e+01,-2.6757644158868969e-15
2386,2.2754702239999999e+04,1.0000000000000000e+01,-3.7228026655817699e-15
2387,2.2764702239999999e+04,1.0000000000000000e+01,-5.2351912484743639e-15
2388,2.2774702239999999e+04,1.0000000000000000e+01,-5.9332167482709459e-15
2389,2.2784702239999999e+04,1.0000000000000000e+01,-5.7005415816720852e-15
2390,2.2794702239999999e+04,1.0000000000000000e+01,-4.3044905820789212e-15
2391,2.2804702239999999e+04,1.0000000000000000e+01,-5.2351912484743639e-15
2392,2.2814702239999999e+04,1.0000000000000000e+01,-5.4678664150732245e-15
2393,2.2824702239999999e+04,1.0000000000000000e+01,-4.7698409152766425e-15
2394,2.2834702239999999e+04,1.0000000000000000e+01,-4.1881529987794912e-15
2395,2.2844702239999999e+04,1.0000000000000000e+01,-4.1881529987794912e-15
2396,2.2854702239999999e+04,1.0000000000000000e+01,-5.5842039983726545e-15
2397,2.2864702239999999e+04,1.0000000000000000e+01,-4.8861784985760725e-15
2398,2.2874702239999999e+04,1.0000000000000000e+01,-4.1881529987794912e-15
2399,2.2884702239999999e+04,1.0000000000000000e+01,-3.3737899156834789e-15
2400,2.2894702239999999e+04,1.0000000000000000e+01,-2.2104140826891760e-15
2401,2.2904702239999999e+04,1.0000000000000000e+01,-1.8614013327908850e-15
2402,2.2914702239999999e+04,1.0000000000000000e+01,-2.2104140826891760e-15
2403,2.2924702239999999e+04,1.0000000000000000e+01,-1.9777389160903153e-15
2404,2.2934702239999999e+04,1.0000000000000000e+01,-2.6757644158868969e-15
2405,2.2944702239999999e+04,1.0000000000000000e+01,-1.3960509995931636e-15
2406,2.2954702239999999e+04,1.0000000000000000e+01,-1.8614013327908850e-15
2407,2.2964702239999999e+04,1.0000000000000000e+01,-2.2104140826891760e-15
2408,2.2974702239999999e+04,1.0000000000000000e+01,-3.9554778321806306e-15
2409,2.2984702239999999e+04,1.0000000000000000e+01,-1.8614013327908850e-15
2410,2.2994702239999999e+04,1.0000000000000000e+01,-2.5594268325874666e-15
2411,2.3004702239999999e+04,1.0000000000000000e+01,-3.6064650822823392e-15
2412,2.3014702239999999e+04,1.0000000000000000e+01,-3.6064650822823392e-15
2413,2.3024702239999999e+04,1.0000000000000000e+01,-3.1411147490846182e-15
2414,2.3034702239999999e+04,1.0000000000000000e+01,-2.4430892492880362e-15
2415,2.3044702239999999e+04,1.0000000000000000e+01,-4.7698409152766425e-15
2416,2.3054702239999999e+04,1.0000000000000000e+01,-5.3515288317737938e-15
2417,2.3064702239999999e+04,1.0000000000000000e+01,-5.3515288317737938e-15
2418,2.3074702239999999e+04,1.0000000000000000e+01,-5.1188536651749331e-15
2419,2.3084702239999999e+04,1.0000000000000000e+01,-6.0495543315703758e-15
2420,2.3094702239999999e+04,1.0000000000000000e+01,-4.7698409152766425e-15
2421,2.3104702239999999e+04,1.0000000000000000e+01,-3.2574523323840486e-15
2422,2.3114702239999999e+04,1.0000000000000000e+01,-3.7228026655817699e-15
2423,2.3124702239999999e+04,1.0000000000000000e+01,-4.6535033319772118e-15
2424,2.3134702239999999e+04,1.0000000000000000e+01,-4.6535033319772118e-15
2425,2.3144702239999999e+04,1.0000000000000000e+01,-4.3044905820789212e-15
