step,t,dt,relE
2375,2.2644702200000000e+04,0.0000000000000000e+00,-0.0000000000000000e+00
2376,2.2654275127004163e+04,9.5729270041619987e+00,-0.0000000000000000e+00
2377,2.2664403912573576e+04,1.0128785569412605e+01,-1.1633758329942959e-16
2378,2.2674580997702800e+04,1.0177085129223912e+01,-1.1633758329942959e-16
2379,2.2684758077534319e+04,1.0177079831520818e+01,-0.0000000000000000e+00
2380,2.2694935150012687e+04,1.0177072478367457e+01,-2.3267516659885919e-16
2381,2.2705112213307275e+04,1.0177063294587727e+01,2.3267516659885919e-16
2382,2.2715289265868170e+04,1.0177052560896122e+01,-1.1633758329942959e-16
2383,2.2725466306473674e+04,1.0177040605504393e+01,-5.8168791649714792e-16
2384,2.2735643334267661e+04,1.0177027793985328e+01,-3.4901274989828878e-16
2385,2.2745820348785535e+04,1.0177014517873157e+01,-3.4901274989828878e-16
2386,2.2755997349968518e+04,1.0177001182982540e+01,-1.1633758329942959e-16
2387,2.2766174338165532e+04,1.0176988197014788e+01,-2.3267516659885919e-16
2388,2.2776351314122494e+04,1.0176975956962872e+01,-4.6535033319771838e-16
2389,2.2786528278959588e+04,1.0176964837093227e+01,1.1633758329942959e-16
2390,2.2796705234136742e+04,1.0176955177152809e+01,-1.1633758329942959e-16
2391,2.2806882181409324e+04,1.0176947272581121e+01,-3.4901274989828878e-16
2392,2.2817059122774182e+04,1.0176941364856697e+01,-4.6535033319771838e-16
2393,2.2827236060408915e+04,1.0176937634731670e+01,-3.4901274989828878e-16
2394,2.2837412996605060e+04,1.0176936196143352e+01,-2.3267516659885919e-16
2395,2.2847589933698120e+04,1.0176937093060683e+01,-0.0000000000000000e+00
2396,2.2857697208415066e+04,1.0107274716945890e+01,-3.4901274989828878e-16
2397,2.2867533031391082e+04,9.8358229760145459e+00,-1.1633758329942959e-16
2398,2.2877123451655116e+04,9.5904202640346305e+00,-4.6535033319771838e-16
2399,2.2886497268622788e+04,9.3738169676716794e+00,-2.3267516659885919e-16
2400,2.2895684930826010e+04,9.1876622032215600e+00,-4.6535033319771838e-16
2401,2.2904717802150932e+04,9.0328713249205350e+00,2.3267516659885919e-16
2402,2.2913627690155223e+04,8.9098880042918100e+00,-4.6535033319771838e-16
2403,2.2922446553456033e+04,8.8188633008088235e+00,-3.4901274989828878e-16
2404,2.2931206324409697e+04,8.7597709536627164e+00,-2.3267516659885919e-16
2405,2.2939938796093051e+04,8.7324716833551275e+00,1.1633758329942959e-16
2406,2.2948675524913509e+04,8.7367288204588380e+00,-1.1633758329942959e-16
2407,2.2957447680841673e+04,8.7721559281630999e+00,-3.4901274989828878e-16
2408,2.2966285697691241e+04,8.8380168495676497e+00,-1.1633758329942959e-16
2409,2.2975218281795762e+04,8.9325841045221903e+00,-2.3267516659885919e-16
2410,2.2984269086865956e+04,9.0508050701938885e+00,-0.0000000000000000e+00
2411,2.2993442618779631e+04,9.1735319136766353e+00,1.1633758329942959e-16
2412,2.3002640780751684e+04,9.1981619720543186e+00,-1.1633758329942959e-16
2413,2.3010946552844329e+04,8.3057720926457428e+00,-3.4901274989828878e-16
2414,2.3014780740707167e+04,3.8341878628381427e+00,-1.1633758329942959e-16
2415,2.3016816168743586e+04,2.0354280364184230e+00,-1.1633758329942959e-16
2416,2.3018794543896747e+04,1.9783751531624605e+00,-1.1633758329942959e-16
2417,2.3021482387333057e+04,2.6878434363087225e+00,-2.3267516659885919e-16
2418,2.3025644283841946e+04,4.1618965088898525e+00,-5.8168791649714792e-16
2419,2.3033303412088462e+04,7.6591282465144230e+00,-2.3267516659885919e-16
2420,2.3043480495568710e+04,1.0177083480247031e+01,1.1633758329942959e-16
2421,2.3053657572992601e+04,1.0177077423889889e+01,-2.3267516659885919e-16
2422,2.3063834642378792e+04,1.0177069386189036e+01,-2.3267516659885919e-16
2423,2.3074011701991265e+04,1.0177059612471679e+01,-3.4901274989828878e-16
2424,2.3084188750392659e+04,1.0177048401395808e+01,-2.3267516659885919e-16
2425,2.3094365786488386e+04,1.0177036095727544e+01,-0.0000000000000000e+00
