step,t,dt,relE
2375,2.2644702200000000e+04,0.0000000000000000e+00,-0.0000000000000000e+00
2376,2.2654702200000000e+04,1.0000000000000000e+01,-9.3070066639543676e-16
2377,2.2664702200000000e+04,1.0000000000000000e+01,-5.8168791649714792e-16
2378,2.2674702200000000e+04,1.0000000000000000e+01,2.3267516659885919e-16
2379,2.2684702200000000e+04,1.0000000000000000e+01,-9.3070066639543676e-16
2380,2.2694702200000000e+04,1.0000000000000000e+01,-2.3267516659885919e-16
2381,2.2704702200000000e+04,1.0000000000000000e+01,-1.1633758329942959e-16
2382,2.2714702200000000e+04,1.0000000000000000e+01,-1.5123885828925847e-15
2383,2.2724702200000000e+04,1.0000000000000000e+01,-1.7450637494914438e-15
2384,2.2734702200000000e+04,1.0000000000000000e+01,-1.1633758329942959e-16
2385,2.2744702200000000e+04,1.0000000000000000e+01,1.1633758329942958e-15
2386,2.2754702200000000e+04,1.0000000000000000e+01,-0.0000000000000000e+00
2387,2.2764702200000000e+04,1.0000000000000000e+01,3.4901274989828878e-16
2388,2.2774702200000000e+04,1.0000000000000000e+01,-5.8168791649714792e-16
2389,2.2784702200000000e+04,1.0000000000000000e+01,1.1633758329942959e-16
2390,2.2794702200000000e+04,1.0000000000000000e+01,5.8168791649714792e-16
2391,2.2804702200000000e+04,1.0000000000000000e+01,1.6287261661920142e-15
2392,2.2814702200000000e+04,1.0000000000000000e+01,1.6287261661920142e-15
2393,2.2824702200000000e+04,1.0000000000000000e+01,1.2797134162937254e-15
2394,2.2834702200000000e+04,1.0000000000000000e+01,8.1436308309600711e-16
2395,2.2844702200000000e+04,1.0000000000000000e+01,1.1633758329942958e-15
2396,2.2854702200000000e+04,1.0000000000000000e+01,1.9777389160903031e-15
2397,2.2864702200000000e+04,1.0000000000000000e+01,8.1436308309600711e-16
2398,2.2874702200000000e+04,1.0000000000000000e+01,2.3267516659885919e-16
2399,2.2884702200000000e+04,1.0000000000000000e+01,6.9802549979657757e-16
2400,2.2894702200000000e+04,1.0000000000000000e+01,5.8168791649714792e-16
2401,2.2904702200000000e+04,1.0000000000000000e+01,-1.9777389160903031e-15
2402,2.2914702200000000e+04,1.0000000000000000e+01,-3.0247771657851694e-15
2403,2.2924702200000000e+04,1.0000000000000000e+01,-3.3737899156834580e-15
2404,2.2934702200000000e+04,1.0000000000000000e+01,-1.9777389160903031e-15
2405,2.2944702200000000e+04,1.0000000000000000e+01,-2.7921019991863103e-15
2406,2.2954702200000000e+04,1.0000000000000000e+01,-2.5594268325874508e-15
2407,2.2964702200000000e+04,1.0000000000000000e+01,-2.2104140826891622e-15
2408,2.2974702200000000e+04,1.0000000000000000e+01,-2.4430892492880212e-15
2409,2.2984702200000000e+04,1.0000000000000000e+01,-2.2104140826891622e-15
2410,2.2994702200000000e+04,1.0000000000000000e+01,-2.9084395824857398e-15
2411,2.3004702200000000e+04,1.0000000000000000e+01,-2.7921019991863103e-15
2412,2.3014702200000000e+04,1.0000000000000000e+01,-3.8391402488811762e-15
2413,2.3024702200000000e+04,1.0000000000000000e+01,-3.2574523323840285e-15
2414,2.3034702200000000e+04,1.0000000000000000e+01,-5.3515288317737607e-15
2415,2.3044702200000000e+04,1.0000000000000000e+01,-4.4208281653783243e-15
2416,2.3054702200000000e+04,1.0000000000000000e+01,-4.3044905820788944e-15
2417,2.3064702200000000e+04,1.0000000000000000e+01,-4.5371657486777542e-15
2418,2.3074702200000000e+04,1.0000000000000000e+01,-5.1188536651749016e-15
2419,2.3084702200000000e+04,1.0000000000000000e+01,-4.8861784985760425e-15
2420,2.3094702200000000e+04,1.0000000000000000e+01,-5.0025160818754724e-15
2421,2.3104702200000000e+04,1.0000000000000000e+01,-4.7698409152766133e-15
2422,2.3114702200000000e+04,1.0000000000000000e+01,-4.1881529987794652e-15
