step,t,dt,relE
6156,5.3842380400000002e+04,0.0000000000000000e+00,-0.0000000000000000e+00
6157,5.3852380400000002e+04,1.0000000000000000e+01,3.8109379427584510e-13
6158,5.3862380400000002e+04,1.0000000000000000e+01,4.3140511461271693e-14
6159,5.3872380400000002e+04,1.0000000000000000e+01,-8.6778353215528555e-13
6160,5.3882380400000002e+04,1.0000000000000000e+01,-2.0675061203262540e-12
6161,5.3892380400000002e+04,1.0000000000000000e+01,-3.2903603500314166e-12
6162,5.3902380400000002e+04,1.0000000000000000e+01,-4.3800919827072926e-12
6163,5.3912380400000002e+04,1.0000000000000000e+01,-5.2725107130964947e-12
6164,5.3922380400000002e+04,1.0000000000000000e+01,-5.9692357561064166e-12
6165,5.3932380400000002e+04,1.0000000000000000e+01,-6.4944396771402900e-12
6166,5.3942380400000002e+04,1.0000000000000000e+01,-6.8855957354835090e-12
6167,5.3952380400000002e+04,1.0000000000000000e+01,-7.1726594069228562e-12
6168,5.3962380400000002e+04,1.0000000000000000e+01,-7.3767961434621179e-12
6169,5.3972380400000002e+04,1.0000000000000000e+01,-7.5233350925812365e-12
6170,5.3982380400000002e+04,1.0000000000000000e+01,-7.6187531139097862e-12
6171,5.3992380400000002e+04,1.0000000000000000e+01,-7.6727654968921286e-12
6172,5.4002380400000002e+04,1.0000000000000000e+01,-7.6923117339885231e-12
6173,5.4012380400000002e+04,1.0000000000000000e+01,-7.6769291923682839e-12
6174,5.4022380400000002e+04,1.0000000000000000e+01,-7.6237264168396373e-12
6175,5.4032380400000002e+04,1.0000000000000000e+01,-7.5213689030508300e-12
6176,5.4042380400000002e+04,1.0000000000000000e+01,-7.3587534630654457e-12
6177,5.4052380400000002e+04,1.0000000000000000e+01,-7.1087004180808099e-12
6178,5.4062380400000002e+04,1.0000000000000000e+01,-6.7299197879583840e-12
6179,5.4072380400000002e+04,1.0000000000000000e+01,-6.1429543840282130e-12
6180,5.4082380400000002e+04,1.0000000000000000e+01,-5.2113275212385516e-12
6181,5.4092380400000002e+04,1.0000000000000000e+01,-3.6788562695982038e-12
6182,5.4102380400000002e+04,1.0000000000000000e+01,-1.0418491347000950e-12
6183,5.4112380400000002e+04,1.0000000000000000e+01,3.7359914241876627e-12
