tag,trials,t_min,t_med,t_max,e_rel_err,tmax_yr
O1+O3_FINAL_run1,11,0.595194,0.595378,0.597455,2.232947e-13,5.000000e+04
O1+O3_FINAL_run2,11,0.595120,0.596314,0.598994,2.232947e-13,5.000000e+04
O1+O3_FINAL_run3,11,0.595312,0.595964,0.598073,2.232947e-13,5.000000e+04
O1+O3_FINAL_run4,11,0.595316,0.595963,0.652462,2.232947e-13,5.000000e+04
BASELINE_fresh_run1,11,0.605415,0.605568,0.606018,2.232947e-13,5.000000e+04
BASELINE_fresh_run2,11,0.605495,0.605783,0.606037,2.232947e-13,5.000000e+04
BASELINE_fresh_run3,11,0.605337,0.605529,0.605677,2.232947e-13,5.000000e+04
BASELINE_fresh_run4,11,0.605872,0.606110,0.606332,2.232947e-13,5.000000e+04
O1+O3_kept_run1,11,0.594835,0.596324,0.599300,2.232947e-13,5.000000e+04
O1+O3_kept_run2,11,0.595961,0.596861,0.598989,2.232947e-13,5.000000e+04
O1+O3_kept_run1,11,0.595666,0.596019,0.617491,2.232947e-13,5.000000e+04
O1+O3_kept_run2,11,0.595360,0.596388,0.597362,2.232947e-13,5.000000e+04
O1+O3_kept_run3,11,0.595488,0.595964,0.596716,2.232947e-13,5.000000e+04
O1+O3_kept_run4,11,0.595622,0.596512,0.597178,2.232947e-13,5.000000e+04
O3_only_run1,11,0.600943,0.601410,0.601621,2.232947e-13,5.000000e+04
O3_only_run2,11,0.601208,0.601533,0.601890,2.232947e-13,5.000000e+04
O3_only_run3,11,0.601098,0.601302,0.601629,2.232947e-13,5.000000e+04
O3_only_run4,11,0.601443,0.601651,0.603079,2.232947e-13,5.000000e+04
O3+O22_run1,11,0.601389,0.601474,0.601604,2.232947e-13,5.000000e+04
O3+O22_run2,11,0.600577,0.601252,0.601748,2.232947e-13,5.000000e+04
O3+O22_run3,11,0.600742,0.601072,0.601372,2.232947e-13,5.000000e+04
O3+O22_run4,11,0.601148,0.601476,0.601601,2.232947e-13,5.000000e+04
O3+O20_run1,11,0.601507,0.601901,0.617502,2.232947e-13,5.000000e+04
O3+O20_run2,11,0.601483,0.601825,0.602024,2.232947e-13,5.000000e+04
O3+O20_run3,11,0.601555,0.601722,0.601908,2.232947e-13,5.000000e+04
O3+O20_run4,11,0.600487,0.608251,0.656747,2.232947e-13,5.000000e+04
O3+O23_run1,11,0.597639,0.597873,0.604222,9.940838e-13,5.000000e+04
O3+O23_run2,11,0.597565,0.597853,0.598582,9.940838e-13,5.000000e+04
O3+O23_run3,11,0.597473,0.597608,0.597800,9.940838e-13,5.000000e+04
O3+O23_run4,11,0.597512,0.597676,0.658516,9.940838e-13,5.000000e+04
O3+O23_run5,11,0.597200,0.597645,0.598131,9.940838e-13,5.000000e+04
O3+O26_run1,11,0.601868,0.602002,0.602307,2.232947e-13,5.000000e+04
O3+O26_run2,11,0.601710,0.601997,0.603383,2.232947e-13,5.000000e+04
O3+O26_run3,11,0.601818,0.602063,0.603569,2.232947e-13,5.000000e+04
O3+O26_run4,11,0.601580,0.601735,0.601976,2.232947e-13,5.000000e+04
O3+O26_run5,11,0.601522,0.601797,0.603319,2.232947e-13,5.000000e+04
O3+alignMain_run1,11,0.601657,0.602301,0.603653,2.232947e-13,5.000000e+04
O3+alignMain_run2,11,0.601406,0.601675,0.602465,2.232947e-13,5.000000e+04
O3+alignMain_run3,11,0.601339,0.601805,0.602069,2.232947e-13,5.000000e+04
O3+alignMain_run4,11,0.601441,0.601797,0.602230,2.232947e-13,5.000000e+04
O3+alignMain_run5,11,0.601566,0.601761,0.601902,2.232947e-13,5.000000e+04
O3_final_run1,11,0.601663,0.601844,0.602006,2.232947e-13,5.000000e+04
O3_final_run2,11,0.601445,0.601828,0.602095,2.232947e-13,5.000000e+04
O3_final_run3,11,0.601170,0.601938,0.603312,2.232947e-13,5.000000e+04
O3+O17+O23_run1,11,0.578198,0.578572,0.579765,5.371143e-13,5.000000e+04
O3+O17+O23_run2,11,0.578109,0.578305,0.579094,5.371143e-13,5.000000e+04
O3+O17+O23_run3,11,0.578141,0.578366,0.578710,5.371143e-13,5.000000e+04
O3+O17+O23_run4,11,0.578261,0.578865,0.579300,5.371143e-13,5.000000e+04
O3+O17+O23_run5,11,0.578212,0.578465,0.579505,5.371143e-13,5.000000e+04
O3+O17_run1,11,0.579861,0.580105,0.580513,4.259497e-13,5.000000e+04
O3+O17_run2,11,0.579248,0.580168,0.580452,4.259497e-13,5.000000e+04
O3+O17_run3,11,0.579628,0.580247,0.580639,4.259497e-13,5.000000e+04
O3+O17_run4,11,0.579532,0.580119,0.642684,4.259497e-13,5.000000e+04
O3+O17+O18+O23_run1,11,0.586306,0.586513,0.586852,7.471320e-14,5.000000e+04
O3+O17+O18+O23_run2,11,0.586430,0.586540,0.586901,7.471320e-14,5.000000e+04
O3+O17+O18+O23_run3,11,0.586358,0.586558,0.586945,7.471320e-14,5.000000e+04
O3+O17+O18+O23_run4,11,0.586232,0.586608,0.586746,7.471320e-14,5.000000e+04
O3+O17+O18+O23_run5,11,0.586383,0.586603,0.641767,7.471320e-14,5.000000e+04
O3+O17+O23_final_run1,11,0.578304,0.578393,0.579141,5.371143e-13,5.000000e+04
O3+O17+O23_final_run2,11,0.578249,0.578545,0.580843,5.371143e-13,5.000000e+04
O3+O17+O23_final_run3,11,0.578117,0.578521,0.579360,5.371143e-13,5.000000e+04
O3+O17+O23_final_run4,11,0.578237,0.578623,0.578778,5.371143e-13,5.000000e+04
O3+O17+O23_final_run5,11,0.578092,0.578459,0.579108,5.371143e-13,5.000000e+04
LONG_O3O17O23_run1,3,5.351131,5.351994,5.360363,4.433305e-13,5.000000e+05
LONG_O3O17O23_run2,3,5.351647,5.356565,5.357118,4.433305e-13,5.000000e+05
LONG_O3O17O23_run3,3,5.352354,5.354330,5.356126,4.433305e-13,5.000000e+05
