particle_order,whfast_max_error,fixed_hj_max_error,improvement
B2-B1-A1-A2,4.709981008226439e-05,1.5131033267692902e-09,31127.953556767185
B1-B2-A1-A2,4.709981039270726e-05,1.5131033267692902e-09,31127.95376193683
B2-B1-A2-A1,4.7212372796309984e-05,1.5131033267692902e-09,31202.34551140384
B1-B2-A2-A1,4.72123728034349e-05,1.5131033267692902e-09,31202.34551611265
A1-A2-B2-B1,0.0017383459035213327,1.5131033267692902e-09,1148861.3320499205
A2-A1-B2-B1,0.001738345904602115,1.5131033267692902e-09,1148861.3327642023
A1-A2-B1-B2,0.0017388114823755916,1.5131033267692902e-09,1149169.030041209
A2-A1-B1-B2,0.0017388114847726177,1.5131033267692902e-09,1149169.0316253877
B2-A2-A1-B1,0.001762542632206926,1.5131033267692902e-09,1164852.7903049605
A2-B2-A1-B1,0.0017625426333981445,1.5131033267692902e-09,1164852.7910922288
A1-B2-B1-A2,0.0017627464873031153,1.5131033267692902e-09,1164987.5167922946
B2-A1-B1-A2,0.0017627464890882466,1.5131033267692902e-09,1164987.517972076
A1-B2-A2-B1,0.0017628687551971922,1.5131033267692902e-09,1165068.3228363458
B2-A1-A2-B1,0.0017628687562421803,1.5131033267692902e-09,1165068.3235269715
B1-A2-A1-B2,0.001763305132825221,1.5131033267692902e-09,1165356.721929989
A2-B1-A1-B2,0.001763305133392501,1.5131033267692902e-09,1165356.7223049006
B2-A2-B1-A1,0.001763502513680868,1.5131033267692902e-09,1165487.169634488
A2-B2-B1-A1,0.0017635025161864644,1.5131033267692902e-09,1165487.1712904202
B1-A1-A2-B2,0.0017636236677739323,1.5131033267692902e-09,1165567.2395748028
A1-B1-A2-B2,0.0017636236685188262,1.5131033267692902e-09,1165567.2400670983
A1-B1-B2-A2,0.0017638345161231444,1.5131033267692902e-09,1165706.5878568941
B1-A1-B2-A2,0.0017638345171503201,1.5131033267692902e-09,1165706.5885357477
A2-B1-B2-A1,0.0017660281007937375,1.5131033267692902e-09,1167156.3134848701
B1-A2-B2-A1,0.0017660281040893522,1.5131033267692902e-09,1167156.31566292
