# a   rel_err_y0   rel_err_y1   rel_err_y2
1.00000000000000004e-10 9.99999999984346744e-06 1.49999235254938412e-10 2.22044604925031308e-16
1.01157945425990040e-10 9.98335073898459768e-06 1.49501522272998955e-10 0.00000000000000000e+00
1.02329299228075369e-10 6.98530316500800552e-06 7.31917859653208325e-11 0.00000000000000000e+00
1.03514216667934519e-10 1.92017557298918007e-05 5.53057488694719268e-10 2.22044604925031308e-16
1.04712854805089849e-10 1.30767063664105621e-05 2.56501486717297666e-10 0.00000000000000000e+00
1.05925372517728979e-10 1.24002431947101144e-05 2.30649943588900896e-10 0.00000000000000000e+00
1.07151930523760478e-10 1.12613010875284303e-05 1.90224835883157084e-10 0.00000000000000000e+00
1.08392691402120383e-10 1.47647343702317357e-05 3.26997762201131081e-10 0.00000000000000000e+00
1.09647819614318289e-10 7.76338860819514309e-06 9.04055719175289596e-11 2.22044604925031308e-16
1.10917481526240095e-10 9.47940340800812464e-06 1.34789068795271305e-10 0.00000000000000000e+00
1.12201845430196522e-10 9.66432812377071571e-06 1.40099376544355891e-10 1.11022302462515654e-16
1.13501081567231434e-10 8.48388155794133070e-06 1.07964637230395510e-10 1.11022302462515654e-16
1.14815362149688409e-10 6.10680604906654878e-06 5.59399193633680625e-11 0.00000000000000000e+00
1.16144861384034142e-10 2.70490296050418522e-06 1.09748876653270599e-11 1.11022302462515654e-16
1.17489755493953042e-10 3.09708759627103092e-05 1.43880773961768682e-09 1.11022302462515654e-16
1.18850222743701643e-10 3.71367098006558649e-05 2.06872841079785985e-09 1.11022302462515654e-16
1.20226443461741320e-10 3.38146813378958910e-05 1.71512959390440756e-09 0.00000000000000000e+00
1.21618600064637039e-10 4.85626194517418952e-05 3.53754925352944838e-09 0.00000000000000000e+00
1.23026877081238120e-10 3.20134405806804523e-05 1.53730705942933810e-09 0.00000000000000000e+00
1.24451461177138690e-10 1.54106524181685245e-05 3.56234153287005029e-10 0.00000000000000000e+00
1.25892541179416616e-10 3.26079502537268695e-05 1.59493496187934625e-09 2.22044604925031308e-16
1.27350308101666289e-10 3.97497566499982469e-05 2.37003339176311556e-09 1.11022302462515654e-16
1.28824955169313220e-10 3.53294725627950612e-05 1.87227933157174675e-09 2.22044604925031308e-16
1.30316677845230013e-10 2.08704791553326885e-05 6.53369913727885887e-10 1.11022302462515654e-16
1.31825673855640461e-10 1.88412513539848447e-05 5.32492383520377643e-10 2.22044604925031308e-16
1.33352143216332403e-10 2.96509212238671438e-05 1.31877875286789958e-09 2.22044604925031308e-16
1.34896288259165609e-10 4.35796960240875109e-06 2.84879897449741293e-11 2.22044604925031308e-16
1.36458313658892386e-10 3.30450596826015186e-05 1.63798208330234729e-09 2.22044604925031308e-16
1.38038426460288663e-10 2.11930398669180065e-05 6.73712641230395093e-10 0.00000000000000000e+00
1.39636836105593616e-10 2.05980972736163892e-05 6.36426689126778911e-10 0.00000000000000000e+00
1.41253754462275558e-10 5.77416550773257597e-06 5.00115504564746516e-11 0.00000000000000000e+00
1.42889395851110072e-10 1.72183081186272346e-05 4.44707826119383753e-10 0.00000000000000000e+00
1.44543977074592809e-10 3.15340704180044895e-05 1.49161216711490852e-09 0.00000000000000000e+00
1.46217717445671531e-10 1.26862940323935192e-05 2.41414221946456564e-10 0.00000000000000000e+00
1.47910838816820707e-10 2.11008914823285210e-05 6.67876309812243107e-10 2.22044604925031308e-16
1.49623565609443597e-10 8.51603689144830867e-06 1.08784536934081189e-10 0.00000000000000000e+00
1.51356124843620717e-10 3.62730425520485511e-05 1.97362426401781477e-09 0.00000000000000000e+00
1.53108746168203185e-10 1.84728537443445973e-05 5.11866327101984098e-10 0.00000000000000000e+00
1.54881661891247956e-10 1.72711427781635507e-05 4.47441195206010889e-10 0.00000000000000000e+00
1.56675107010815020e-10 1.74507749544083879e-05 4.56791604541706420e-10 2.22044604925031308e-16
1.58489319246111088e-10 2.74008586957918965e-05 1.12622089432079520e-09 0.00000000000000000e+00
1.60324539069004168e-10 1.12050505567395930e-05 1.88329019046307167e-10 2.22044604925031308e-16
1.62181009735893306e-10 3.10293991447885276e-05 1.44425027492900426e-09 0.00000000000000000e+00
1.64058977319953872e-10 1.08105936368341204e-05 1.75302772298380205e-10 0.00000000000000000e+00
1.65958690743756315e-10 1.65969973129342918e-05 4.13192702275466672e-10 2.22044604925031308e-16
1.67880401812255882e-10 1.96372334004824012e-06 5.78448400290199061e-12 0.00000000000000000e+00
1.69824365246174606e-10 2.41224487260716103e-05 8.72845684618539508e-10 0.00000000000000000e+00
1.71790838715758597e-10 1.71816240448485757e-05 4.42815006884700324e-10 2.22044604925031308e-16
1.73780082874937629e-10 1.63793015051094670e-05 4.02424538137324816e-10 0.00000000000000000e+00
1.75792361395868951e-10 8.75622854557001062e-06 1.15007670054012578e-10 2.22044604925031308e-16
1.77827941003892287e-10 1.89484493665625919e-05 5.38562194840608299e-10 0.00000000000000000e+00
1.79887091512879115e-10 1.35838382455677475e-05 2.76782374797335251e-10 0.00000000000000000e+00
1.81970085860998247e-10 2.73047636333290100e-05 1.11831499616243946e-09 0.00000000000000000e+00
1.84077200146895811e-10 6.54586281667590697e-06 6.42725872523897124e-11 0.00000000000000000e+00
1.86208713666286561e-10 7.45998646101142526e-06 8.34773361546581327e-11 0.00000000000000000e+00
1.88364908948980217e-10 2.50540933022236345e-06 9.41580147184595262e-12 0.00000000000000000e+00
1.90546071796324440e-10 1.93804915591400118e-05 5.63408764087114378e-10 2.22044604925031308e-16
1.92752491319093662e-10 2.46449905056955743e-05 9.11056008412458596e-10 2.22044604925031308e-16
1.94984459975804138e-10 9.20177020868884199e-06 1.27009291972512983e-10 0.00000000000000000e+00
1.97242273611485354e-10 1.01118948416800691e-05 1.53376089606638288e-10 0.00000000000000000e+00
1.99526231496888283e-10 5.95471567965688564e-06 5.31880095522296870e-11 0.00000000000000000e+00
2.01836636368155958e-10 2.52486322818157305e-05 9.56248302763640368e-10 0.00000000000000000e+00
2.04173794466953159e-10 1.14368639958506435e-05 1.96203497893066015e-10 0.00000000000000000e+00
2.06538015581052701e-10 7.25081697683371829e-06 7.88616949520815069e-11 0.00000000000000000e+00
2.08929613085404097e-10 1.30509928628619321e-05 2.55493737277845412e-10 2.22044604925031308e-16
2.11348903983664333e-10 1.27484085510332079e-07 2.43138842392909282e-14 0.00000000000000000e+00
2.13796208950223247e-10 2.40861730560482101e-06 8.70203908931443948e-12 0.00000000000000000e+00
2.16271852372702461e-10 2.05224751022026197e-05 6.31762309133421240e-10 0.00000000000000000e+00
2.18776162394955181e-10 4.40092723852369971e-06 2.90522050860886338e-11 0.00000000000000000e+00
2.21309470960564107e-10 3.43514375800157978e-06 1.77003967039013332e-11 0.00000000000000000e+00
2.23872113856833768e-10 2.40631072752073294e-05 8.68556560007505141e-10 2.22044604925031308e-16
2.26464430759306175e-10 3.50197945886421280e-06 1.83958404065265313e-11 0.00000000000000000e+00
2.29086765276777005e-10 5.21877068226928031e-06 4.08532097040392728e-11 0.00000000000000000e+00
2.31739464996847964e-10 1.35233804769985255e-05 2.74324118976210229e-10 0.00000000000000000e+00
2.34422881531991807e-10 1.44647230002625804e-05 3.13843950827674689e-10 1.11022302462515654e-16
2.37137370566165517e-10 3.59856556642057512e-05 1.94247440354899936e-09 1.11022302462515654e-16
2.39883291901949490e-10 3.75263315337548420e-05 2.11231188096405731e-09 0.00000000000000000e+00
2.42661009508241456e-10 3.39256208436999884e-05 1.72644099016849850e-09 0.00000000000000000e+00
2.45470891568503357e-10 3.37067839806248770e-05 1.70423997136737171e-09 2.22044604925031308e-16
2.48313310529556793e-10 1.56033293841062459e-07 3.65263375101676502e-14 1.11022302462515654e-16
2.51188643150958199e-10 4.38310450761036918e-05 2.88178281238060663e-09 0.00000000000000000e+00
2.54097270554930109e-10 2.50200716125359435e-05 9.38998101496224535e-10 1.11022302462515654e-16
2.57039578276886484e-10 2.43124429135654907e-05 8.86649531572913929e-10 1.11022302462515654e-16
2.60015956316526674e-10 2.47621240461182168e-05 9.19751719230532672e-10 1.11022302462515654e-16
2.63026799189538139e-10 8.10603151601974048e-06 9.85618253679376721e-11 0.00000000000000000e+00
2.66072505979881395e-10 3.13313248578861447e-05 1.47249323845244362e-09 0.00000000000000000e+00
2.69153480392691370e-10 2.77214394170943734e-05 1.15270670786316032e-09 2.22044604925031308e-16
2.72270130807791542e-10 2.77201551310835015e-05 1.15262122069026418e-09 0.00000000000000000e+00
2.75422870333816316e-10 6.86945575756325866e-07 7.07989222803462326e-13 1.11022302462515654e-16
2.78612116862977204e-10 1.51249782172069303e-05 3.43149064718772934e-10 2.22044604925031308e-16
2.81838293126444944e-10 2.15834951553528498e-05 6.98775703966703077e-10 2.22044604925031308e-16
2.85101826750390991e-10 3.23030173210447913e-06 1.56524793126777695e-11 1.11022302462515654e-16
